,GM02704,GM02706,GM01650,GM01653,GM02640,GM02641,WG2414,WG2415,WG3465,WG3466,GM00042,GM00031,GM01095,GM01096,GM01375,GM01376,WG1657,WG1658,WG1282,WG1283,WG2843,WG2844,GM00289,GM00290,GM01393,GM01392,GM02316,GM02317,GM02456,GM02555,GM03073,GM03075,GM02147,GM02149,GM00940,GM00941,WG2193,WG2194,WG2120,WG2121,WG1309,WG1310,WG1977,WG1978,WG1513,WG1514,WG1721,WG1722,GM00520,GM00935,GM00016,GM00022,GM00439,WG2275,WG2276,WG1984,WG1983
ILMN_1726842,8.874176139,8.810271435,9.02955254,8.67872457,8.646510662,8.531917812,8.70556352,8.706280695,8.465657508,8.63896315,8.978569373,8.59366724,8.695951636,8.639838113,8.904968703,8.679242017,8.689254997,8.672315576,8.559998373,8.659066391,8.60716645,8.646241493,8.538603576,8.761314357,8.884791678,8.723848568,8.76400827,8.736100595,8.882225317,8.939727774,8.878690307,8.869166884,8.966326661,8.443848183,8.720425802,8.653492202,8.819526201,8.713101952,8.631714465,8.661264593,8.619697144,8.534751655,8.673391486,8.550002833,8.932149651,8.721319951,8.665200211,8.787134589,8.758079218,8.76303143,8.96491028,8.48788855,8.50228118,9.030306227,8.505050197,8.689519814,9.029793995
ILMN_1726906,8.101088611,8.124529049,8.415355146,8.169913501,8.111764635,8.10017191,8.280342498,8.408803613,8.240353341,8.422170174,8.378457621,8.290724457,8.179971979,8.379222631,8.042541795,8.329174573,8.263924793,8.234435409,8.234935119,8.316499632,8.257538038,8.232513819,8.190079498,8.035342862,8.060692265,8.114703782,8.013909199,8.183180287,8.234206477,8.076418451,8.113670573,8.14423003,8.000557001,8.045837003,8.318534818,8.298948574,8.407149278,8.217430741,8.268181514,8.181065128,8.203861023,8.285768792,8.3233656,8.240512581,8.119828682,8.095710712,8.317929042,8.118659752,8.165188845,8.239034763,8.344648773,8.252396359,8.213813439,8.272830392,8.209620477,8.292953486,8.271888061
ILMN_1726924,7.533649941,7.422145742,7.449313329,7.457874536,7.400093773,7.424308163,7.381264485,7.534825411,7.485919621,7.426863468,7.534361936,7.564324333,7.552105785,7.572445924,7.451934949,7.604088576,7.512651005,7.441093039,7.513314514,7.507289185,7.503574814,7.56591001,7.55956063,7.502471452,7.589383798,7.460154826,7.455880253,7.402848194,7.430852664,7.432643021,7.438486284,7.43976641,7.500888849,7.488964606,7.447157,7.479121335,7.518183039,7.367987477,7.410484938,7.560510032,7.40722558,7.439201754,7.5541257,7.471490369,7.449559284,7.43067682,7.46506122,7.420191212,7.401238421,7.506765022,7.55039286,7.502461043,7.428678299,7.498690361,7.557479142,7.606282209,7.403091007
ILMN_1726928,11.20368862,10.75160424,9.572477831,11.41073243,11.44111813,10.74146657,11.72040611,12.06130609,11.71017146,11.21555173,11.21097754,11.05753976,9.713574186,11.08557476,10.92947592,11.53557881,10.27375874,11.71398693,11.55172837,10.12312259,11.09849043,11.11688558,11.84377944,11.61978673,11.81265455,11.7454282,11.36904708,12.01019358,11.84327355,11.47853716,10.96984416,11.02602745,11.25493048,11.7690789,12.22726189,10.01348254,12.32229442,11.43494345,11.79668811,10.12385942,11.44755961,10.1270021,9.430295879,11.36070239,10.72456454,11.92903027,11.25488895,12.14877786,11.58540936,11.63059316,11.39386379,11.65546903,10.8422318,10.51088272,11.69380129,11.18740798,10.71467055
ILMN_1727036,7.30249466,7.311183184,7.347049155,7.364536278,7.272642591,7.301762407,7.376981094,7.27604566,7.331662566,7.402910531,7.307589719,7.344579186,7.328523784,7.352583238,7.278734677,7.411705869,7.264390963,7.303311152,7.358825858,7.31755931,7.372855934,7.201711015,7.367059833,7.256345309,7.275237401,7.248589204,7.261705698,7.357097075,7.30620663,7.310558964,7.311937527,7.282974295,7.321600646,7.292410446,7.244075259,7.379026791,7.365235975,7.267036505,7.340970377,7.226700887,7.374457278,7.328076974,7.326635597,7.308127817,7.240686561,7.265848985,7.279607866,7.362790559,7.372135662,7.350488758,7.321448386,7.270769404,7.406983455,7.365202685,7.348691358,7.361440941,7.311713445
ILMN_1727040,7.35049292,7.347476158,7.467646178,7.409649157,7.50781886,7.358378835,7.433918992,7.437504669,7.30536534,7.359193744,7.386728577,7.402026672,7.436502815,7.383794032,7.458358525,7.464315454,7.416110078,7.452640604,7.418942735,7.375261411,7.385717814,7.463568693,7.471111099,7.405288973,7.375720242,7.501809151,7.495020922,7.490968156,7.549390545,7.398557547,7.346342059,7.370786399,7.41812608,7.46076428,7.474019758,7.474313335,7.482291101,7.480811427,7.475383982,7.390925538,7.466814431,7.56614884,7.405756878,7.47917412,7.452467768,7.474571585,7.497101658,7.460268691,7.38781003,7.448005921,7.464984562,7.449202951,7.430123094,7.514693504,7.482944123,7.339199518,7.542632673
ILMN_1727043,12.1110739,11.72096481,12.21124977,11.58921811,11.82314795,11.90472421,11.4601268,11.80718725,12.40960475,11.80609026,12.52278353,12.68761476,12.28179058,12.86753689,11.69033923,12.48926813,12.03666348,11.98040237,12.21440873,12.33105081,11.78616996,12.05132938,11.6060823,11.96351896,11.69840538,11.10696213,11.49026526,11.58953675,11.1633917,11.30545392,11.95339613,11.72408092,11.84612836,11.62850002,12.44202678,12.27440705,11.65010098,12.04274557,11.69737925,12.17622616,12.26188464,11.88575195,11.54993653,11.91459853,11.77244083,11.99394629,12.10386045,11.75831555,11.91901185,11.30414869,11.77012255,11.76462732,11.63961998,12.05154796,11.90756142,12.02824336,12.08094746
ILMN_1727065,7.394339026,7.471011748,7.410499565,7.432185949,7.41192429,7.335075015,7.438320704,7.36379307,7.459896018,7.388339971,7.443096263,7.36166413,7.509117443,7.44139572,7.33014634,7.4630153,7.388676048,7.501115919,7.385803828,7.451546512,7.442239573,7.444766614,7.356528031,7.464623015,7.419354248,7.359977704,7.545179495,7.395814102,7.35904918,7.466987422,7.45232281,7.44700077,7.3778038,7.494784941,7.453028697,7.341503102,7.502239006,7.363299966,7.449815873,7.405401918,7.37820119,7.421791444,7.353734486,7.459131567,7.372162927,7.47270354,7.416414058,7.380774931,7.499723397,7.429517339,7.402743834,7.423833019,7.286063047,7.423226802,7.473872797,7.33624631,7.375740633
ILMN_1727144,7.425375951,7.418824462,7.455602405,7.419583289,7.399937423,7.406031446,7.455437843,7.441494453,7.420758207,7.469388898,7.392824787,7.581202998,7.415054075,7.459211233,7.446764324,7.500798956,7.459390579,7.428841493,7.446353905,7.400955598,7.372936023,7.468619994,7.50244486,7.418325229,7.397757158,7.40690456,7.388296421,7.445469477,7.377569195,7.39406892,7.45001963,7.358443446,7.432186854,7.413703051,7.524494384,7.452454407,7.385018807,7.445888405,7.388710742,7.409332616,7.414278184,7.482477618,7.375409083,7.465744759,7.426448889,7.393972191,7.437151002,7.429745809,7.430473787,7.422261945,7.49221721,7.414298939,7.421738082,7.60943713,7.552153824,7.488489125,7.528943139
ILMN_1727183,8.080221805,7.767377371,7.652689746,7.835163443,7.86361759,7.847824817,7.809899503,7.793654629,7.734607602,7.788825824,7.948554812,7.900217161,7.747634439,7.766951668,7.790728902,7.747678053,7.783457594,7.818654607,7.787834924,7.651721252,7.860174157,7.77466886,7.888093298,7.90095057,7.8589945,7.905104428,8.036943547,7.900257551,7.91712262,7.878441826,7.834475745,8.142799152,7.866658382,7.874127783,7.767411187,7.766400575,7.748018485,7.878274562,7.866794862,7.791622954,7.749803004,7.860913627,7.702903072,7.843367806,7.87516507,7.736593978,7.736098585,7.828372099,7.770126308,7.858026792,7.670919027,7.719610082,7.766788624,7.705342094,7.854970942,7.708140823,7.719085912
